Sex,Age,Fare
male,22,7.25
null,38,71.2833
female,26,7.925
female,null,53.1
male,35,8.05
male,0,Q
male,54,51.8625
male,2,21.075
female,27,11.1333
null,14,30.0708
female,4,16.7
female,58,null
male,20,8.05
male,39,31.275
female,14,7.8542
female,null,16
male,2,29.125
null,0,S
female,31,18
female,0,C
,null,null
male,34,13
female,15,null
male,null,35.5
female,8,21.075
female,,
male,0,C
male,19,263
female,0,Q
null,0,S
male,40,27.7208
female,1,B78
null,null,null
male,66,10.5
male,28,82.1708
male,42,52
male,C,
male,21,8.05
,18,18
female,14,11.2417
female,40,9.475
female,27,21
male,0,C
female,3,41.5792
,7.8792,
male,0,S
male,1,Q
female,0,Q
male,2,C
female,18,17.8
male,7,39.6875
male,21,7.8
female,49,76.7292
female,29,26
male,65,61.9792
male,0,C52
female,21,10.5
male,28.5,
female,27.75,
male,11,46.9
male,22,7.2292
female,38,80
male,45,83.475
,4,27.9
male,0,C
male,1,C
female,29,10.5
male,19,8.1583
female,17,7.925
male,26,8.6625
male,32,10.5
female,16,46.9
male,21,73.5
male,26,14.4542
male,32,56.4958
male,25,7.65
male,0,S
male,0,S
male,0.83,
female,30,12.475
male,22,
male,9.5,
female,0,Q
male,28,47.1
female,17,10.5
female,33,15.85
male,16,34.375
male,S,
female,263,
male,8.05,
male,8.05,
male,7.8542,
male,61.175,
male,20.575,
male,59,7.25
male,0,S
male,71,34.6542
male,23,63.3583
,34,23
,34,26
,28,7.8958
,0,S
,21,77.2875
,33,null
male,37,7.925
male,28,7.8958
female,21,7.65
male,0,S
male,38,7.8958
female,1,Q
male,47,52
female,14.5,14.4542
male,22,8.05
female,20,9.825
female,17,14.4583
male,21,7.925
male,70.5,7.75
male,null,21
male,24,247.5208
female,2,31.275
male,21,73.5
male,0,S
male,32.5,30.0708
female,32.5,13
male,54,77.2875
male,12,11.2417
male,0,Q
male,24,7.1417
female,null,F E69
male,45,6.975
male,33,7.8958
male,20,7.05
female,47,null
female,29,26
male,25,13
male,23,15.0458
female,19,26.2833
male,37,53.1
male,16,9.2167
male,24,79.2
female,0,C
female,22,7.75
female,24,15.85
male,19,6.75
male,18,11.5
male,19,36.75
male,27,7.7958
female,9,34.375
male,36.5,26
male,42,13
male,51,12.525
female,22,66.6
male,55.5,8.05
male,40.5,null
male,0,S
male,51,61.3792
female,null,7.7333
male,30,8.05
male,0,S
male,8,S
male,44,16.1
female,40,null
null,26,7.775
male,17,8.6625
male,1,39.6875
male,9,20.525
female,0,E33
female,45,27.9
male,0,S
male,28,56.4958
male,61,33.5
male,4,29.125
female,null,11.1333
male,21,7.925
male,56,30.6958
null,18,7.8542
male,3,S
female,50,28.7125
male,30,13
male,36,0
female,8,S
male,0,C
male,9,31.3875
male,1,null
female,4,22.025
male,0,A32
female,1,Q
null,45,26.55
null,40,15.5
null,36,7.8958
null,32,13
null,19,13
null,19,7.8542
male,3,26
female,44,27.7208
female,58,146.5208
male,0,Q
male,42,null
female,0,Q
female,24,13
male,28,9.5
male,8,S
male,34,6.4958
male,45.5,null
male,18,8.05
female,2,10.4625
male,null,15.85
male,26,18.7875
female,16,7.75
male,40,31
male,24,7.05
female,35,21
male,22,7.25
male,30,13
male,1,Q
female,31,113.275
female,27,7.925
male,42,27
female,32,76.2917
male,30,10.5
male,16,8.05
male,27,13
male,51,8.05
male,0,S
male,38,90
male,22,9.35
male,19,10.5
male,20.5,7.25
male,18,13
female,3,S
female,35,83.475
male,29,7.775
male,59,13.5
female,5,null
male,24,10.5
female,0,S
male,44,26
female,8,26.25
male,19,10.5
male,33,12.275
female,1,null
female,null,Q
male,29,10.5
male,22,7.125
male,30,7.225
male,44,90
female,25,7.775
female,24,14.5
male,37,52.5542
male,54,26
male,0,S
female,29,10.4625
male,62,26.55
male,30,16.1
female,41,20.2125
female,29,15.2458
female,0,C
female,30,86.5
female,35,512.3292
female,50,26
null,0,Q
null,3,null
null,52,79.65
male,40,0
female,0,Q
male,36,10.5
male,16,39.6875
male,25,null
female,58,153.4625
female,null,135.6333
male,0,S
male,25,0
female,41,19.5
male,37,29.7
female,0,Q
female,63,77.9583
female,45,7.75
male,0,S
male,7,29.125
female,35,20.25
male,65,7.75
male,28,null
male,16,null
male,19,null
male,0,null
male,33,8.6625
male,30,9.5
male,22,7.8958
male,42,13
female,22,7.75
female,26,78.85
female,19,91.0792
male,36,12.875
female,24,8.85
male,24,7.8958
male,0,C
male,23.5,7.2292
female,2,151.55
male,0,C106
female,50,247.5208
female,0,Q
male,2,Q
male,19,0
female,0,E101
male,0,S
male,0.92,151.55
female,0,C
female,17,108.9
male,30,24
female,30,56.9292
female,24,83.1583
female,18,262.375
female,26,26
male,28,7.8958
male,43,26.25
female,26,7.8542
female,24,26
male,54,14
female,31,164.8667
female,40,134.5
male,22,7.25
male,27,7.8958
female,30,12.35
female,22,29
male,8,S
female,36,135.6333
male,61,6.2375
female,36,13
female,31,20.525
female,16,57.9792
female,2,Q
male,45.5,28.5
male,38,153.4625
male,16,18
female,1,S
male,0,S
male,29,66.6
female,41,134.5
male,45,8.05
male,45,35.5
male,2,26
female,24,263
male,28,13
male,25,13
male,36,13
female,24,13
female,40,13
female,1,S
male,3,15.9
male,42,8.6625
male,23,9.225
male,0,C128
male,15,7.2292
male,25,17.8
male,0,C
male,28,9.5
female,22,55
female,38,13
female,0,Q
female,0,Q
male,40,27.9
male,29,27.7208
female,45,14.4542
male,35,7.05
male,1,Q
male,30,7.25
female,60,75.25
female,0,C
female,0,Q
female,24,69.3
male,25,55.4417
male,18,6.4958
male,19,8.05
male,22,135.6333
female,3,21.075
female,1,C
female,22,7.25
male,27,211.5
male,20,4.0125
male,19,7.775
female,42,227.525
female,1,15.7417
male,32,7.925
female,35,52
male,0,S
male,18,73.5
male,1,46.9
female,36,13
male,0,Q
female,17,12
male,36,120
male,21,7.7958
male,28,7.925
female,23,113.275
female,24,16.7
male,22,7.7958
female,31,7.8542
male,46,26
male,23,10.5
female,28,12.65
male,39,7.925
male,26,8.05
female,21,9.825
male,28,15.85
female,20,8.6625
male,34,21
male,51,7.75
male,3,18.75
male,21,7.775
female,3,S
male,0,S
male,0,Q
female,33,90
male,0,S
male,44,7.925
female,0,S
female,34,32.5
female,18,13
male,30,13
female,10,24.15
male,0,C
male,21,7.7333
male,29,7.875
female,28,14.4
male,18,20.2125
male,0,S
female,28,26
female,19,26
male,0,Q
male,32,8.05
male,28,26.55
female,1,S
female,42,26
male,17,7.125
male,50,55.9
female,14,120
female,21,34.375
female,24,18.75
male,64,263
male,31,10.5
female,45,26.25
male,20,9.5
male,25,7.775
female,28,13
male,0,S
male,4,81.8583
female,13,19.5
male,34,26.55
female,5,19.2583
male,52,30.5
male,36,27.75
male,1,S
male,30,27.75
male,49,89.1042
male,0,S
male,29,7.8958
male,65,26.55
female,1,D21
female,50,10.5
male,0,Q
male,48,26.55
male,34,8.05
male,47,38.5
male,48,13
male,0,S
male,38,7.05
male,0,S
male,56,26.55
male,0,Q
female,0.75,19.2583
male,0,S
male,38,8.6625
female,33,27.75
female,23,13.7917
female,22,9.8375
male,0,A14
male,34,21
male,29,7.0458
male,22,7.5208
female,2,12.2875
male,9,46.9
male,0,S
male,50,8.05
female,63,9.5875
male,25,91.0792
female,3,S
female,35,90
male,58,29.7
male,30,8.05
male,9,15.9
male,1,S
male,21,7.25
male,55,30.5
male,71,49.5042
male,21,8.05
male,0,C
female,54,78.2667
male,0,S
female,25,151.55
male,24,7.7958
male,17,8.6625
female,21,7.75
female,0,Q
female,37,9.5875
female,16,86.5
male,18,108.9
female,33,26
male,0,S
male,28,22.525
male,26,56.4958
male,29,7.75
male,0,S
male,36,26.2875
female,54,59.4
male,24,7.4958
male,47,34.0208
female,34,10.5
male,0,Q
female,36,26
male,32,7.8958
female,30,93.5
male,22,7.8958
male,0,C
female,44,57.9792
male,0,C
male,40.5,7.75
female,50,10.5
male,0,C95
male,39,7.925
male,23,11.5
female,2,26
male,0,C
male,17,7.2292
female,0,C
female,30,8.6625
female,7,26.25
male,45,26.55
female,30,106.425
male,0,S
female,22,49.5
female,36,71
female,9,31.275
female,11,31.275
male,32,26
male,50,106.425
male,64,26
female,19,26
male,0,C
male,33,20.525
male,8,36.75
male,17,110.8833
male,27,26
male,0,Q
male,22,7.225
female,22,7.775
male,62,26.55
female,48,39.6
male,0,C
female,39,79.65
female,36,17.4
male,0,Q
male,40,7.8958
male,28,13.5
male,0,S
female,0,S
male,24,24.15
male,19,7.8958
female,29,21.075
male,0,C
male,32,7.8542
male,62,10.5
female,53,51.4792
male,36,26.3875
female,0,Q
male,16,8.05
male,19,14.5
female,34,13
female,39,55.9
female,1,C
male,32,7.925
female,25,30
female,39,110.8833
male,54,26
male,36,40.125
male,0,C
female,18,79.65
male,47,15
male,60,79.2
male,22,8.05
male,0,S
male,35,7.125
female,52,78.2667
male,47,7.25
female,0,Q
male,37,26
male,36,24.15
female,0,S
male,49,0
male,0,C
male,49,56.9292
female,24,27
male,0,S
male,0,S
male,44,8.05
male,35,26.55
male,36,15.55
male,30,7.8958
male,27,30.5
female,22,41.5792
female,40,153.4625
female,39,31.275
male,0,S
female,1,Q
male,0,Q
male,35,8.05
female,24,65
male,34,14.4
female,26,16.1
female,4,39
male,26,10.5
male,27,14.4542
male,42,52.5542
male,20,15.7417
male,21,7.8542
male,21,16.1
male,61,32.3208
male,57,12.35
female,21,77.9583
male,26,7.8958
male,0,Q
male,80,30
male,51,7.0542
male,32,30.5
male,0,S
female,9,27.9
female,28,13
male,32,7.925
male,31,26.25
female,41,39.6875
male,1,S
male,20,7.8542
female,24,69.3
female,2,27.9
male,0,S
female,0.75,19.2583
male,48,76.7292
male,19,7.8958
male,56,35.5
male,0,S
female,23,7.55
male,0,S
female,18,23
male,21,8.4333
female,0,Q
female,18,6.75
male,24,73.5
male,0,S
female,32,15.5
male,23,13
male,58,113.275
male,50,133.65
male,40,7.225
male,47,25.5875
male,36,7.4958
male,20,7.925
